Size,Amount(in rupees),location,Floor,Transaction,Furnishing,Bathroom,Balcony
4,295,67,1,2,1,4,1
1,30,67,4,2,2,1,0
1,56,67,3,2,3,1,2
2,114.99999999999999,67,24,2,3,2,1
3,299,67,21,2,2,2,2
3,130,67,4,1,1,2,1
2,190,67,16,1,2,2,2
2,61,67,19,2,3,2,1
1,58,67,7,2,3,2,3
1,48,67,0,2,2,1,0
1,43,67,14,1,2,1,1
2,165,67,5,2,2,2,0
2,159,67,2,1,3,2,1
2,63,67,7,2,2,2,3
2,193,67,4,1,3,2,2
3,299,67,12,2,2,3,0
5,250,67,6,2,1,3,0
2,70,67,1,2,3,2,2
1,17,67,1,2,3,1,0
2,199,67,19,1,3,2,2
1,36,67,2,2,3,1,0
1,98,67,7,2,1,2,0
2,72,67,3,2,2,2,2
3,359,67,23,1,2,3,1
1,32.5,67,6,2,1,1,2
1,37,67,17,2,3,2,1
4,320,67,16,2,3,3,1
2,40,67,2,2,3,1,0
1,60,67,2,1,2,2,3
1,45,67,2,2,3,1,1
1,55,67,7,2,3,1,1
3,260,67,10,2,2,3,1
2,49,67,20,1,3,2,1
2,31,67,2,2,3,2,2
3,156,67,14,2,3,2,1
1,48.5,67,3,2,3,1,0
1,47,67,7,2,3,1,1
2,85,67,9,2,3,2,4
6,520,67,8,2,2,6,2
2,180,67,12,2,2,2,3
2,125,67,6,2,2,2,1
2,30,67,0,2,3,2,0
1,27,67,3,2,3,1,1
1,63,67,8,2,3,2,3
2,84,67,7,2,2,2,0
1,75,67,1,2,1,1,1
2,39,67,5,2,3,1,1
1,17,67,0,2,2,1,0
1,39.9,67,4,2,3,2,0
2,154,67,2,1,3,2,1
1,45,67,5,2,2,1,3
2,95,67,18,2,3,2,1
1,82,67,6,2,3,2,0
1,15,67,1,2,2,1,1
1,30,67,2,2,1,1,2
1,25,67,7,2,3,1,2
1,47,67,9,2,2,1,0
2,85,67,5,2,2,2,0
3,105,67,12,2,3,2,0
3,190,67,6,2,2,3,0
2,45,67,2,2,3,2,0
1,70,67,1,2,2,2,0
1,32.5,67,8,2,2,1,3
2,110.00000000000001,67,20,2,3,2,1
1,42,67,2,2,2,1,0
1,70,67,2,2,2,2,0
3,300,67,5,2,3,3,1
1,24,67,4,2,2,1,0
2,211,67,18,1,3,2,2
1,20,67,3,2,3,1,3
1,36,67,2,1,3,1,2
3,195,67,10,2,3,3,2
1,50,67,5,2,3,1,1
1,27,67,3,2,1,1,0
1,63,67,6,2,2,1,3
2,155,67,19,2,3,2,2
3,100,67,5,2,3,3,1
2,120,67,5,2,1,2,0
2,120,67,16,2,2,2,0
2,120,67,17,2,2,2,0
2,130,67,5,2,1,2,0
3,300,67,14,2,2,3,3
1,110.00000000000001,67,0,2,2,2,0
2,28,67,1,2,3,2,0
2,145,67,1,2,3,1,2
1,50,67,5,2,3,1,0
2,109.00000000000001,67,17,2,3,2,1
2,90,67,15,2,3,2,0
1,70,67,1,2,2,2,0
1,30,67,4,2,3,2,0
1,28.1,67,19,1,3,2,0
1,48,67,4,2,3,1,0
1,76,67,13,2,2,2,1
2,111.00000000000001,67,21,2,3,2,1
1,35,67,8,2,3,2,1
2,220.00000000000003,67,29,1,3,2,2
2,176,67,2,1,3,2,1
2,85,67,5,2,2,2,1
1,49.5,67,2,1,3,2,1
2,177,67,2,1,3,2,1
2,60,67,16,2,3,2,0
2,105,67,8,2,3,2,0
3,235,67,16,2,2,3,0
2,109.00000000000001,67,22,2,3,2,1
1,35,67,1,2,3,1,1
2,113.99999999999999,67,23,2,3,2,1
1,33,67,10,2,3,2,0
2,41,67,3,2,0,2,0
1,41,67,0,2,0,1,0
1,23.9,67,1,2,2,1,0
1,19.5,67,4,2,3,1,0
1,40,67,1,2,3,1,0
1,35,67,3,2,3,1,0
2,65,67,23,1,3,2,2
2,42.5,67,4,2,2,2,0
1,51,67,5,2,2,2,0
2,155,67,11,2,3,2,0
3,279,67,11,1,3,3,3
2,71,67,21,1,2,2,1
3,165,67,8,2,2,3,2
1,130,67,16,2,2,2,1
2,161,67,26,2,1,2,0
4,704,67,7,2,3,5,1
1,19.5,67,1,2,3,1,0
1,32,67,3,2,2,1,0
1,50,67,5,2,1,2,0
3,100,67,3,2,2,2,0
2,185,67,9,1,3,2,2
1,52,67,7,2,2,1,2
1,38,67,3,2,2,1,0
2,180,67,11,1,3,2,2
1,61,67,8,2,2,1,0
1,62,67,5,2,3,1,0
1,62,67,12,2,3,2,0
2,108,67,16,2,3,2,1
2,95,67,10,2,3,2,2
2,98,67,1,2,3,2,0
1,23,67,4,2,2,1,0
3,98,67,2,2,3,2,0
3,68,67,7,1,1,2,1
1,42,67,5,1,3,2,0
1,53,67,5,2,1,1,1
2,114.99999999999999,67,14,1,3,2,1
1,55,67,1,2,2,1,0
3,74,67,4,2,3,3,1
1,40,67,7,2,3,1,0
3,120,67,9,2,2,2,0
2,65,67,7,2,2,2,3
2,225,67,9,2,1,2,0
4,425,67,14,2,2,4,1
2,25,67,1,2,3,2,0
1,45,67,1,2,2,1,0
3,100,67,1,2,2,3,3
2,215,67,14,2,2,2,1
1,35,67,5,2,3,1,0
3,225,67,3,2,3,2,0
2,35,67,3,2,3,2,2
2,120,67,7,2,2,2,0
1,36,67,14,2,0,1,0
1,54.5,67,4,2,2,1,0
1,32,67,6,2,3,1,1
3,88,67,9,2,2,3,0
2,156,67,2,2,2,2,1
1,42,67,0,2,3,1,0
1,52,67,1,2,3,1,0
2,90,67,10,2,3,2,1
2,70,67,1,1,3,2,2
1,53,67,2,2,2,1,0
2,110.00000000000001,67,1,2,2,2,1
1,87,67,1,2,3,1,0
3,62,67,10,2,3,2,1
1,28,67,3,2,1,2,0
1,45,67,2,2,3,1,2
3,89,67,6,2,2,3,2
3,190,67,14,2,1,3,2
2,96,67,4,2,2,2,0
1,83,67,6,2,1,1,0
1,33,67,16,2,2,1,3
1,58,67,8,2,3,2,1
2,58,67,6,2,2,2,0
1,85,67,10,2,2,2,0
1,110.00000000000001,67,2,2,1,1,0
1,35,67,2,2,3,1,2
2,112.99999999999999,67,20,2,3,2,2
1,60,67,7,2,2,2,0
1,25,67,3,2,3,1,1
1,40,67,2,2,3,1,1
1,50,67,17,2,3,2,0
2,35,67,1,2,2,1,0
2,96,67,10,2,2,2,1
1,27,67,2,2,3,1,0
3,155,67,10,2,2,3,3
1,76,67,5,2,1,1,2
2,111.00000000000001,67,14,2,3,2,2
1,68,67,5,2,2,2,1
2,75,67,9,2,3,2,1
1,62,67,8,1,3,2,1
2,73,67,4,2,2,2,2
1,75,67,5,2,2,1,2
2,54,67,6,2,3,2,0
2,20,67,4,1,1,2,2
2,100,67,4,2,3,2,1
1,45,67,5,2,2,1,0
1,48,67,1,2,2,1,0
1,48,67,1,2,2,1,0
1,42,67,5,1,3,2,0
2,122,67,12,2,3,2,1
2,160,67,19,2,2,2,0
4,200,67,6,2,2,3,0
1,30,67,5,2,3,1,0
1,75.5,67,4,2,2,2,0
1,28,67,1,2,2,2,2
1,27,67,4,2,3,1,1
1,26,67,4,2,2,1,0
3,80,67,6,1,1,3,0
2,33,67,1,2,2,2,0
1,68,67,6,2,2,2,0
2,95,67,20,1,1,2,1
3,235,67,10,2,2,3,0
2,150,67,10,2,2,2,0
1,95,67,7,2,1,1,0
3,240,67,6,2,1,3,2
2,45,67,7,2,2,2,0
1,20,67,3,2,2,1,0
1,39.5,67,4,2,3,2,2
1,35,67,2,2,3,1,2
1,42,67,3,2,3,1,1
2,153,67,21,1,3,2,1
1,23.8,67,4,1,3,2,1
1,25,67,7,2,3,1,0
1,76,67,5,2,1,1,2
1,29,67,7,2,3,1,2
3,165,67,16,2,1,3,0
1,51,67,2,2,3,1,1
2,95,67,6,2,1,2,0
2,155,67,6,2,3,2,0
2,139,67,2,2,3,2,0
2,170,67,9,1,3,2,3
2,100,67,8,1,2,2,0
2,100,67,8,1,2,2,0
2,109.00000000000001,67,19,2,3,2,2
1,30,67,2,2,2,1,0
2,86,67,6,2,3,2,0
1,53,67,22,2,3,1,0
1,38,67,4,2,3,1,0
1,38,67,4,2,3,1,0
1,39,67,4,2,3,1,0
2,121,67,2,2,1,2,0
2,110.00000000000001,67,13,2,3,2,2
3,210,67,7,2,2,2,0
1,52,67,1,2,2,1,0
1,18,67,3,2,3,1,0
2,110.00000000000001,67,6,2,3,2,2
2,62,67,2,2,3,2,2
1,38,67,4,2,3,1,0
1,20.5,67,12,1,3,1,2
1,39,67,6,2,3,2,1
1,40,67,1,2,3,1,0
1,60,67,8,2,3,2,3
3,210,67,15,2,2,3,1
2,95,67,4,2,3,2,0
2,112.00000000000001,67,16,2,3,2,2
3,170,67,15,2,3,3,3
1,42,67,13,2,3,2,3
1,25,67,4,2,3,1,1
1,45,67,2,2,2,1,0
3,245.00000000000003,67,15,2,2,3,3
1,49,67,9,2,2,2,2
2,181,67,11,1,3,2,0
2,60,67,5,2,3,2,1
1,45,67,9,1,2,1,2
2,45,67,7,2,2,2,0
2,45,67,10,2,1,2,0
2,30,67,3,2,2,2,2
3,250,67,10,2,3,3,1
1,29,67,6,2,3,2,3
2,68,67,3,2,3,2,0
1,72,67,4,2,2,2,1
1,12.5,67,1,2,2,1,0
2,100,67,8,1,2,2,0
2,100,67,8,1,2,2,0
3,175,67,3,2,3,2,0
1,75,67,3,2,2,1,1
1,24,67,2,2,3,2,1
1,22,67,10,2,3,1,0
1,82,67,2,2,1,2,4
1,25,67,4,2,2,2,3
2,155,67,2,2,3,2,1
3,210,67,18,2,2,3,1
3,160,67,15,2,3,3,4
1,43,67,0,2,2,1,0
1,45,67,0,2,3,1,0
2,105,67,20,2,3,2,0
1,70,67,3,2,2,1,0
2,114.99999999999999,67,8,2,2,2,2
1,60,67,2,2,3,2,1
1,40,67,0,2,3,1,0
1,38,67,4,2,2,1,0
3,229.99999999999997,67,14,2,3,2,1
3,235,67,17,2,2,3,0
3,125,67,5,2,1,4,4
2,65,67,2,1,3,2,3
2,79,67,4,2,1,2,0
1,71,67,2,2,3,1,0
3,165,67,10,2,2,2,1
4,310,67,21,2,2,4,0
1,57,67,4,2,2,1,2
3,275,67,8,2,3,3,1
2,80,67,5,2,3,2,0
2,60,67,6,2,3,2,2
3,200,67,25,2,3,2,1
2,112.00000000000001,67,8,2,2,2,1
1,90,67,12,2,3,2,3
3,254,67,15,1,3,3,1
1,41,67,16,2,3,1,3
1,24.8,67,7,2,2,1,2
1,23.2,67,7,2,2,1,2
1,51,67,4,2,2,1,0
1,94,67,7,2,2,1,0
1,18,67,0,2,2,1,1
1,9,67,4,2,3,1,0
2,107,67,7,2,2,2,4
2,70,67,1,2,0,2,0
3,285,67,11,2,2,3,1
2,45,67,2,2,3,2,0
1,65,67,9,2,3,2,2
1,47,67,5,2,3,1,1
2,160,67,20,2,3,2,0
1,18,67,3,2,3,2,1
1,90,67,4,2,1,2,0
1,32,67,4,2,3,2,3
1,30,67,3,2,2,2,0
1,136,67,8,1,3,1,1
1,40,67,4,2,2,2,1
1,60,67,6,2,3,1,1
1,25,67,4,2,0,2,0
2,25,67,5,2,3,2,3
1,23.5,67,3,1,3,2,1
1,55,67,7,2,2,1,0
2,80.9,67,5,2,2,2,0
3,75,67,15,2,3,3,1
2,125,67,17,2,2,2,0
2,25,67,1,2,3,2,0
2,110.00000000000001,67,5,2,1,2,0
1,55,67,7,2,3,2,1
2,50,67,5,2,3,2,1
3,245.00000000000003,67,18,2,2,3,3
1,37,67,3,2,1,2,0
2,125,67,6,1,3,2,0
