Size,Amount(in rupees),location,Floor,Transaction,Furnishing,Bathroom,Balcony
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
3,310,6,32,2,2,3,3
2,78,6,0,2,3,2,2
2,88,6,8,1,2,2,2
3,85,6,10,2,3,2,2
2,64,6,9,2,3,2,1
2,86.3,6,7,2,3,2,1
2,70,6,4,2,3,2,1
2,130,6,2,1,3,2,1
2,35,6,3,2,2,2,0
2,58,6,2,1,3,2,0
2,83,6,4,2,3,2,2
2,117,6,0,1,3,2,0
2,65,6,1,2,2,2,1
2,85,6,3,2,2,2,0
2,65,6,4,2,2,2,2
3,80,6,7,2,2,2,0
2,97.2,6,5,2,2,2,0
2,85,6,0,2,2,2,0
2,88,6,0,2,2,2,0
2,90,6,0,2,2,2,0
2,96,6,5,2,2,2,0
3,88,6,2,1,3,3,2
3,90,6,19,2,2,3,0
3,130,6,5,2,2,4,0
2,72,6,1,2,3,2,1
3,63,6,3,2,2,3,3
3,60,6,3,2,2,3,3
3,239,6,3,2,2,3,0
3,78,6,10,2,1,3,2
